"mean","sd","0.025quant","0.5quant","0.975quant","mode"
-28.12,12.87,-53.37,-28.12,-2.86,-28.12
0.02,0.01,0.01,0.02,0.04,0.02
-5.97,0.21,-6.38,-5.97,-5.56,-5.97
-10.99,0.43,-11.83,-10.99,-10.15,-10.99
-0.63,0,-0.63,-0.63,-0.62,-0.63
0.02,0,0.02,0.02,0.02,0.02
0.19,0,0.19,0.19,0.19,0.19
0.07,0,0.06,0.07,0.07,0.07
0.78,0.01,0.76,0.78,0.79,0.78
