"mean","sd","0.025quant","0.5quant","0.975quant","mode"
0.01,0.02,-0.02,0.01,0.04,0.01
-5.75,1.31,-8.31,-5.75,-3.19,-5.75
-10.99,1.98,-14.88,-10.99,-7.11,-10.99
-0.94,0.01,-0.96,-0.94,-0.91,-0.94
0.01,0,0.01,0.01,0.02,0.01
-0.8,30.9,-61.38,-0.8,59.79,-0.8
0.5,0,0.49,0.5,0.5,0.5
47.6,0.3,46.99,47.6,48.18,47.63
8.14,0.13,7.93,8.13,8.43,8.07
0.99,0,0.98,0.99,0.99,0.99
