"mean","sd","0.025quant","0.5quant","0.975quant","mode"
0.02,0,0.02,0.02,0.03,0.02
-6.07,0.02,-6.12,-6.07,-6.03,-6.07
-11.09,0.04,-11.18,-11.09,-11.01,-11.09
-0.84,0.11,-1.04,-0.84,-0.63,-0.84
0.01,0.01,-0.01,0.01,0.04,0.01
-26.57,2.28,-30.93,-26.62,-21.93,-26.62
0.05,0,0.05,0.05,0.05,0.05
6.97,4.33,1.61,5.98,17.97,4.13
2.05,0.38,1.42,2.01,2.91,1.92
